Header
;johnnycash;willienelson;dollyparton;hankwilliams;faithhill;dixiechicks;garthbrooks;kennyrogers;timmcgraw;hanksnow;brooksanddunn;leehazlewood;kennychesney;jimreeves;rogermiller;kriskristofferson;bobdylan;jonimitchell;leonardcohen;joanbaez;townesvanzandt;peteseeger;suzannevega;tracychapman;timbuckley;steeleyespan;woodyguthrie;donovan;catstevens;johndenver;donmclean;crosbystillsnash;milesdavis;davebrubeck;billieholiday;dukeellington;djangoreinhardt;glennmiller;ellafitzgerald;louisarmstrong;natkingcole;herbiehancock;ninasimone;johncoltrane;charlieparker;countbasie;theloniousmonk;cannonballadderley;johnleehooker;muddywaters;tajmahal;johnmayall;bigbillbroonzy;bbking;howlinwolf;williedixon;blindlemonjefferson;blindwilliemctell;mississippijohnhurt;tbonewalker;ettajames;lightninhopkins;otisrush;albertking;jamesbrown;marvingaye;otisredding;solomonburke;samcooke;arethafranklin;algreen;thetemptations;thedrifters;fatsdomino;thesupremes;isaachayes;aliciakeys;erykahbadu;indiaarie;jillscott;ironmaiden;megadeth;slayer;sepultura;blacksabbath;anthrax;alicecooper;deeppurple;defleppard;acdc;judaspriest;kiss;metallica;pantera;queensryche;skidrow;nirvana;beck;smashingpumpkins;radiohead;belleandsebastian;aliceinchains;echoandthebunnymen;sonicyouth;weezer;pearljam;foofighters;hole;bush;thesmiths;depechemode;janesaddiction;pattismith;sexpistols;sidvicious;ramones;badreligion;theclash;nofx;deadkennedys;buzzcocks;greenday;blink182;sum41;themisfits;rancid;screechingweasel;pennywise;eminem;drdre;publicenemy;missyelliot;cypresshill;50cent;rundmc;grandmasterflash;2pac;snoopdogg;jayz;bustarhymes;llcoolj;dmx;icecube;mystikal;aphextwin;daftpunk;kraftwerk;chemicalbrothers;fatboyslim;basementjaxx;carlcox;moloko;pauloakenfold;prodigy;armandvanhelden;moby;massiveattack;mouseonmars;jimitenor;underworld;bobmarley;jimmycliff;petertosh;ziggymarley;seanpaul;alphablondy;shaggy;maxipriest;shabbaranks;ub40;innercircle;desmonddekker;capleton;bountykiller;eddygrant;blackuhuru;therollingstones;theanimals;thefaces;thekinks;thewho;elvispresley;chuckberry;littlerichard;jerryleelewis;buddyholly;bodiddley;billhaley;chubbychecker;theyardbirds;carlperkins;genevincent;madonna;britneyspears;nsync;justintimberlake;abba;michaeljackson;janetjackson;prince;spicegirls;christinaaguilera;robbiewilliams;nellyfurtado;avrillavigne;jenniferlopez;otown;shakira;wolfgangamadeusmozart;ludwigvanbeethoven;johannsebastianbach;josephhaydn;johannesbrahms;fredericchopin;antonindvorak;gustavmahler;franzschubert;antoniovivaldi;richardwagner;herbertvonkarajan;yehudimenuhin;georgfriedrichhaendel;tchaikovsky;giuseppeverdi;
sidvicious;0,021805;0,003485;0,004996;0,000486;0,006165;0,000496;0,000555;0,012545;0,000552;0;0;0,011619;0,003967;0;0,000349;0,005322;0,025531;0,012861;0,021201;0,009899;0,000944;0,000268;0,008222;0,006281;0,023279;0,059381;0,000065;0,029972;0,061527;0,025786;0,097099;0;0,000675;0;0;0;0,000458;0;0;0,000356;0;0;0,0003;0;0;0;0;0;0,001819;0,000075;0,009234;0,041245;0;0;0,000614;0;0;0;0;0,003228;0,002678;0;0,004063;0,001066;0,00977;0,0124;0,000697;0,001487;0,000992;0,004854;0,046536;0,013085;0,003505;0,002834;0,004001;0,015329;0;0,000642;0;0,00011;0,019283;0,002772;0,00119;0,001782;0,041652;0,002166;0,035686;0,062505;0,044253;0,042809;0,017082;0,036704;0,012043;0,00313;0,012026;0,01426;0,088037;0,035994;0,03565;0,069226;0,019776;0,021848;0;0,060208;0,119707;0,030875;0,08413;0,11501;0,06989;0,068967;0,027198;0,055342;0,476905;0,968963;1;0,910345;0,87399;0,913624;0,885127;0,841389;0,939968;0,690453;0,432107;0,706006;0,647785;0,86163;0,861287;0,880923;0,001695;0,000607;0,000867;0;0,00515;0,000907;0;0;0,001826;0,000832;0,000823;0;0;0,000628;0,00043;0,006065;0,005158;0,002231;0,008559;0;0,018659;0,019722;0,00513;0,015175;0,007119;0,00453;0;0,007753;0,011786;0,001446;0,000106;0,021822;0,007924;0,002254;0,002214;0,001064;0,006039;0,000366;0,000921;0,011013;0;0,038761;0,003738;0,000404;0;0;0,005934;0,000836;0,110618;0,102651;0,216422;0,118896;0,129944;0,031015;0,019389;0,01616;0,009449;0,019198;0,013345;0,013966;0,007713;0,056147;0,004829;0,005187;0,003457;0,008645;0;0,000437;0,088279;0,010466;0,002295;0,017805;0,06651;0,003407;0,091052;0,003444;0,174752;0,000387;0,018231;0,016593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ramones;0,081668;0,008704;0,007498;0,001273;0,027222;0,003076;0,002831;0,018301;0,002815;0,000288;0;0,031757;0,018452;0,000778;0,006738;0,010084;0,135567;0,038127;0,073752;0,045904;0,003187;0,006136;0,0382;0,029061;0,071022;0,032194;0,002013;0,070792;0,115501;0,053331;0,199943;0;0,002894;0,000571;0,000506;0,000554;0,00183;0,00152;0,000522;0,001372;0,001024;0,000536;0,000694;0,000569;0,000823;0,000527;0,000278;0,000559;0,011046;0,002326;0,031258;0,052022;0,000286;0;0,004218;0,000289;0,000274;0,000549;0,000791;0,005143;0,00621;0,000582;0,015477;0,004848;0,016773;0,011519;0,006797;0,00724;0,005814;0,008181;0,028098;0,023204;0,006494;0,015598;0,007417;0,011377;0,001281;0,003042;0;0,000795;0,041281;0,015795;0,007823;0,006811;0,114609;0,012402;0,175822;0,204647;0,176601;0,186833;0,039406;0,170652;0,062261;0,016421;0,053873;0,084076;0,173748;0,136571;0,141151;0,146949;0,05262;0,090748;0,009438;0,142712;0,264927;0,127615;0,236387;0,19376;0,157219;0,116108;0,051822;0,184364;0,580859;0,958056;0,910345;1;0,949198;0,947886;0,94272;0,869633;0,914143;0,83961;0,551378;0,836131;0,669803;0,906533;0,901767;0,944183;0,007753;0,002099;0,008362;0;0,019935;0,004977;0,008327;0,013472;0,002539;0,004214;0,004025;0,001429;0,006322;0,00303;0,003134;0,008646;0,002939;0,008669;0,009141;0;0,015081;0,008602;0;0,004212;0,001902;0,005139;0,000237;0,030043;0,009098;0,005875;0,000667;0,006474;0,02526;0,001305;0,001282;0,004255;0,008289;0,000353;0,003681;0,002725;0;0,02498;0,005962;0,001616;0;0;0,016918;0,001949;0,252757;0,216022;0,132255;0,213963;0,257135;0,166377;0,128415;0,073881;0,069672;0,096216;0,049953;0,074029;0,037808;0,189384;0,028427;0,028912;0,021929;0,01061;0;0,003189;0,070743;0,042763;0,013481;0,085326;0,003838;0,012479;0,069712;0,01317;0,265704;0,002829;0,037959;0,054331;0;0;0;0;0;0;0;0;0;0;0;0;0,001573;0;0;0;
badreligion;0,040313;0,00361;0,003287;0,001581;0,019717;0,002388;0,002745;0,004081;0,002298;0,000204;0;0,013694;0,01236;0,000612;0,000954;0,004906;0,055748;0,01435;0,045937;0,022733;0,002321;0,04738;0,043027;0,027609;0,047188;0,012221;0,033199;0,022637;0,033133;0,007311;0,046128;0;0,002869;0,000472;0,000359;0,000457;0,00137;0,001076;0,00037;0,000972;0,000725;0,000379;0,000492;0,000403;0,000582;0,000373;0,000197;0,000396;0,005041;0,000618;0,021236;0,012769;0,00027;0;0,002026;0,000205;0,000194;0,000388;0,000622;0,001778;0,003338;0,000412;0,004481;0,003606;0,006661;0,000421;0,002033;0,004433;0,00226;0,003302;0,000642;0,006711;0,002852;0,008293;0,002638;0,001866;0,000883;0,00335;0;0,001151;0,023295;0,011844;0,006843;0,009427;0,040888;0,009866;0,067435;0,065995;0,076932;0,080451;0,013076;0,066393;0,041307;0,014621;0,037557;0,043998;0,165544;0,151068;0,162621;0,160236;0,04973;0,085987;0,001782;0,149743;0,258217;0,115711;0,214818;0,192218;0,154843;0,100808;0,043368;0,182307;0,526884;0,916569;0,87399;0,949198;1;0,905169;0,961916;0,915769;0,8896;0,858609;0,604208;0,867835;0,661445;0,910118;0,913784;0,989246;0,007662;0,001935;0,043418;0;0,026045;0,003872;0,002903;0,002279;0,002887;0,003978;0,00273;0,000415;0,001599;0,002757;0,002959;0,009507;0,003356;0,01104;0,00363;0;0,018376;0,011566;0;0,006533;0,001945;0,004127;0,000223;0,041018;0,014465;0,008597;0,000969;0,006608;0,015709;0;0,001479;0,003186;0,007683;0,001533;0,002935;0,001157;0;0,008327;0,003475;0,00121;0;0;0,002949;0,001459;0,100922;0,079799;0;0,086428;0,101091;0,062494;0,047465;0,041558;0,023331;0,049691;0,034649;0,038665;0,018649;0,063797;0,013307;0,014564;0,012247;0,008946;0;0,002329;0,007518;0,021421;0,007545;0,051269;0,005168;0,01;0,054776;0,015741;0,24223;0,002368;0,035773;0,041284;0;0;0;0;0;0;0;0;0;0;0;0;0,00122;0;0;0;
theclash;0,094505;0,00806;0,006468;0,000727;0,034805;0,003841;0,003018;0,015485;0,002925;0,000071;0;0,025218;0,023626;0,000383;0,006044;0,008844;0,157028;0,04201;0,088736;0,050391;0,003636;0,013118;0,056938;0,038608;0,082649;0,07563;0,006016;0,103327;0,137492;0,047921;0,190535;0,00443;0,003353;0;0;0;0,002302;0;0;0;0,000126;0;0;0;0;0;0;0;0,012764;0,001577;0,037584;0,090841;0;0;0,004304;0;0;0;0;0,004642;0,006301;0;0,016885;0,005359;0,016535;0,007529;0,0069;0,008552;0,005799;0,007635;0,009793;0,021698;0,005513;0,018294;0,007462;0,005844;0,001942;0,003554;0;0,000522;0,059698;0,015571;0,006155;0,004824;0,140857;0,011952;0,198675;0,238761;0,236044;0,211891;0,052845;0,197702;0,068735;0,014564;0,065776;0,106322;0,203028;0,182421;0,180969;0,236297;0,093319;0,113348;0,031634;0,183678;0,319836;0,161654;0,290635;0,220041;0,232276;0,235074;0,112799;0,233312;0,601799;0,970458;0,913624;0,947886;0,905169;1;0,899991;0,840529;0,950612;0,815556;0,510081;0,795528;0,648091;0,871648;0,852492;0,897961;0,009017;0,00178;0,015663;0;0,024834;0,00496;0,001579;0,02446;0,002503;0,004599;0,003186;0,000108;0,013244;0,002607;0,003044;0,00972;0,009253;0,011759;0,010193;0;0,03619;0,032432;0,005483;0,022147;0,009897;0,008968;0,000117;0,039825;0,022894;0,008471;0,001113;0,030994;0,070349;0,043029;0,039526;0,041803;0,032142;0,035918;0,037599;0,054729;0,027362;0,125292;0,048838;0,046686;0,029368;0,022638;0,082366;0,037899;0,358121;0,316307;0,216165;0,339347;0,360723;0,192658;0,150104;0,090719;0,083579;0,118417;0,059856;0,088646;0,042527;0,25155;0,038839;0,039707;0,043969;0,016973;0,0058;0,008127;0,060576;0,076881;0,027245;0,125613;0,08535;0,019925;0,178808;0,023288;0,294814;0,007209;0,050527;0,072757;0,001219;0,001279;0,000457;0;0,00048;0;0;0,000275;0,000415;0,001068;0,000336;0,00027;0,000776;0,002016;0;0,000549;
nofx;0,031842;0,002927;0,002769;0,001014;0,015136;0,002;0,002393;0,003199;0,001919;0,000218;0;0,011819;0,00927;0,000588;0,00102;0,003933;0,039376;0,009906;0,031648;0,009812;0,001792;0,009515;0,02233;0,016537;0,033728;0,009086;0,006919;0,016846;0,024384;0,005763;0,03494;0;0,001825;0,000432;0,000383;0,000419;0,001019;0,00115;0,000395;0,001039;0,000775;0,000405;0,000525;0,00043;0,000622;0,000399;0,000211;0,000423;0,003764;0,00066;0,015843;0,009448;0,000216;0;0,001643;0,000219;0,000207;0,000415;0,000598;0,001389;0,002607;0,00044;0,003331;0,002817;0,005019;0,000385;0,001697;0,003356;0,001932;0,002584;0,000618;0,005164;0,002412;0,006331;0,002101;0,00151;0,000895;0,002046;0;0,000642;0,018167;0,009767;0,006082;0,008741;0,031157;0,008295;0,050103;0,048811;0,055453;0,060907;0,010411;0,048357;0,031795;0,01219;0,028014;0,031841;0,130766;0,08821;0,094051;0,094596;0,028879;0,056044;0;0,101873;0,193705;0,076924;0,15654;0,156891;0,101058;0,060336;0,023749;0,121224;0,504823;0,922448;0,885127;0,94272;0,961916;0,899991;1;0,896533;0,900083;0,807968;0,566904;0,82408;0,672673;0,98386;0,929499;0,969258;0,005072;0,001724;0,010856;0;0,014466;0,002759;0,003102;0,00051;0,002196;0,002986;0,001945;0,000388;0,000683;0,001946;0,002325;0,00782;0,001817;0,00587;0,001781;0;0,010085;0,005944;0;0,003086;0,001173;0,00298;0,000239;0,021134;0,006764;0,004224;0,000518;0,004061;0,02768;0,033357;0,016669;0,003775;0,006995;0,000285;0,002241;0,000687;0;0,03033;0,02941;0,107701;0;0;0;0,001085;0,073495;0,06137;0;0,064863;0,077189;0,046558;0,035546;0,03077;0,017676;0,037254;0,026047;0,028856;0,014415;0,047432;0,010056;0,010991;0,007915;0,007002;0;0,002064;0,004147;0,013711;0,005101;0,035669;0,004698;0,007493;0,038639;0,008595;0,218874;0,0021;0,029759;0,030519;0;0;0;0;0;0;0;0;0;0;0;0;0,001191;0;0;0;
deadkennedys;0,024478;0,002054;0,002877;0,000864;0,009031;0,001322;0,001069;0,003329;0,001063;0,000155;0;0,008948;0,006252;0,000487;0,001013;0,002659;0,031475;0,008086;0,022623;0,021332;0,001272;0,054269;0,023236;0,016722;0,022207;0,00635;0,037648;0,012407;0,018854;0,006137;0,029586;0;0,001322;0,000384;0,000272;0,000372;0,00061;0,000817;0,00028;0,000737;0,00055;0,000288;0,000373;0,000305;0,000442;0,000283;0,00015;0,0003;0,002594;0,000547;0,010044;0,007825;0,00023;0;0,001113;0,000155;0,000147;0,000295;0,000495;0,001012;0,001705;0,000312;0,002513;0,001736;0,003728;0,001162;0,001301;0,002102;0,001396;0,00208;0,002339;0,004094;0,001696;0,004093;0,001528;0,001737;0,000688;0,001695;0;0,000626;0,010103;0,004721;0,004087;0,01151;0,020614;0,005614;0,036937;0,035898;0,04646;0,045438;0,006399;0,039131;0,01752;0,007317;0,01781;0,027301;0,108458;0,079231;0,070552;0,076568;0,037773;0,037102;0,008112;0,097204;0,16266;0,05069;0,11629;0,136359;0,07032;0,074866;0,029981;0,090659;0,491725;0,876494;0,841389;0,869633;0,915769;0,840529;0,896533;1;0,861567;0,680071;0,401667;0,682801;0,674246;0,865505;0,872231;0,926692;0,003644;0,000944;0,050611;0;0,012642;0,001939;0,002202;0,008564;0,001336;0,002102;0,001462;0,000295;0,004609;0,002427;0,001684;0,00912;0,001986;0,005064;0,003319;0;0,007913;0,005265;0;0,003071;0,000852;0,002031;0,000127;0,018261;0,006366;0,004261;0,000662;0,003008;0,008456;0,000078;0,00176;0,001419;0,006693;0,001972;0,001227;0,002342;0;0,012737;0,001819;0,000539;0;0;0,013493;0,00065;0,052175;0,046384;0,007479;0,048678;0,059796;0,033052;0,025016;0,01966;0,012772;0,024345;0,015907;0,018525;0,009526;0,034005;0,006653;0,007149;0,012809;0,004374;0;0,001358;0,014462;0,022236;0,007604;0,033887;0,00142;0,004709;0,024792;0,00701;0,18858;0,001262;0,021245;0,018298;0;0;0;0;0;0;0;0;0;0;0;0;0,000966;0;0;0;
buzzcocks;0,040937;0,003297;0,003566;0,000364;0,020454;0,002898;0,00183;0,006109;0,001737;0;0;0,011242;0,012151;0,000352;0,000513;0,004708;0,053836;0,015982;0,043584;0,0112;0,002227;0,000491;0,029935;0,02121;0,043788;0,056226;0,000068;0,044328;0,057896;0,012359;0,063596;0,004884;0,001888;0;0;0;0,001303;0;0;0;0,00007;0;0;0;0;0;0;0;0,004771;0,000079;0,020403;0,046017;0;0;0,001609;0;0;0;0;0,002047;0,003203;0;0,005159;0,003034;0,007922;0,003251;0,001682;0,004112;0,001933;0,003802;0,010058;0,009212;0,003284;0,007649;0,003921;0,004622;0,002142;0,002204;0;0,000288;0,03284;0,008308;0,003199;0,002732;0,057941;0,00621;0,070352;0,086529;0,096841;0,082686;0,022886;0,071105;0,034048;0,008238;0,035587;0,045506;0,143468;0,117006;0,101848;0,155092;0,076559;0,063145;0,080019;0,158423;0,223474;0,089353;0,182011;0,167483;0,144162;0,235257;0,144545;0,139211;0,548676;0,970195;0,939968;0,914143;0,8896;0,950612;0,900083;0,861567;1;0,743685;0,453334;0,740327;0,662133;0,879607;0,881469;0,892858;0,005399;0,001008;0,004121;0;0,013908;0,003032;0;0,006224;0,001408;0,002836;0,002095;0,000119;0,003559;0,001497;0,001703;0,007393;0,007574;0,00702;0,007812;0;0,026179;0,026069;0,005047;0,018588;0,008213;0,006485;0,000129;0,02316;0,016656;0,005429;0,000948;0,025615;0,013607;0,000473;0,000464;0,00303;0,008355;0,00023;0,004484;0,01466;0;0,05124;0,004081;0,001151;0;0;0,024119;0,001388;0,163802;0,146645;0,136199;0,172723;0,172493;0,064198;0,047691;0,040011;0,023318;0,049261;0,032661;0,037677;0,017528;0,096097;0,012758;0,013954;0,020749;0,01313;0,006395;0,007784;0,035853;0,033813;0,014392;0,060397;0,077694;0,014492;0,132563;0,016484;0,240857;0,006905;0,037093;0,043535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
greenday;0,104646;0,009919;0,011035;0,003271;0,074918;0,014823;0,009858;0,011934;0,008279;0,000403;0;0,038849;0,03878;0,003992;0,003666;0,013762;0,155727;0,042152;0,131559;0,02918;0,006485;0,002791;0,119959;0,070201;0,135217;0,036299;0,002265;0,07038;0,103382;0,023424;0,139993;0,028762;0,007411;0,000743;0,000608;0,00072;0,004039;0,001824;0,000626;0,001812;0,002048;0,000643;0,000833;0,000683;0,000987;0,000632;0,000334;0,000671;0,014691;0,001163;0,061945;0,038764;0,000401;0;0,005566;0,000405;0,000384;0,000713;0,001002;0,005042;0,009684;0,000698;0,01354;0,01011;0,019668;0,002954;0,006031;0,013152;0,00821;0,009745;0,001415;0,021343;0,012233;0,024101;0,013495;0,005175;0,014189;0,008609;0;0,002417;0,065956;0,030627;0,014242;0,013546;0,121502;0,023192;0,202166;0,200949;0,226834;0,228022;0,037072;0,196712;0,115785;0,03432;0,110089;0,127897;0,351525;0,386552;0,438649;0,442774;0,132513;0,253128;0;0,326393;0,578315;0,340587;0,554608;0,362335;0,437793;0,24601;0,11069;0,497521;0,620396;0,763038;0,690453;0,83961;0,858609;0,815556;0,807968;0,680071;0,743685;1;0,797577;0,974998;0,493805;0,748787;0,792944;0,823971;0,023603;0,004569;0,010393;0;0,063165;0,012778;0,00492;0,000808;0,007464;0,010677;0,008347;0,001451;0,003116;0,006128;0,006601;0,012993;0,008269;0,028259;0,008676;0;0,047333;0,034791;0;0,018618;0,005496;0,010682;0,00123;0,106741;0,034147;0,020979;0,002382;0,017968;0,041204;0;0,000057;0,009392;0,014551;0,000056;0,019955;0,013081;0,000088;0,028006;0,012015;0,003611;0;0;0,010986;0,004302;0,299659;0,219586;0,002785;0,252586;0,276233;0,189342;0,141478;0,122605;0,069159;0,150503;0,101195;0,114514;0,056314;0,19365;0,039074;0,043111;0,068656;0,066851;0,037658;0,045452;0,049494;0,092776;0,049042;0,166675;0,056737;0,066732;0,198082;0,078602;0,437797;0,040105;0,120912;0,150045;0;0;0;0;0;0;0;0;0;0;0;0;0,001978;0;0,000632;0;
blink182;0,051177;0,004903;0,004186;0,003057;0,030651;0,004217;0,005302;0,006393;0,004371;0,000243;0;0,01767;0,018114;0,001807;0,001594;0,006953;0,076685;0,022825;0,073382;0,013353;0,003155;0,000491;0,08996;0,040267;0,07213;0,017597;0,000532;0,032876;0,049123;0,010396;0,065456;0,003797;0,005136;0,000422;0,000321;0,000409;0,001973;0,000963;0,000331;0,001044;0,001135;0,000339;0,00044;0,00036;0,000521;0,000334;0,000176;0,000354;0,00717;0,000614;0,030424;0,018352;0,000242;0;0,002751;0,000244;0,000231;0,000406;0,000557;0,002448;0,004634;0,000369;0,006451;0,004966;0,009481;0,000753;0,002843;0,006503;0,003294;0,004486;0,000575;0,009611;0,004496;0,011779;0,004378;0,002479;0,002456;0,006426;0;0,002284;0,02919;0,012646;0,005094;0,004135;0,055016;0,009302;0,094756;0,095116;0,107598;0,108869;0,015156;0,093504;0,053781;0,014803;0,051824;0,059367;0,199534;0,281858;0,307481;0,289304;0,093664;0,141598;0;0,230636;0,353961;0,187255;0,298667;0,213085;0,255021;0,169091;0,078154;0,285118;0,331016;0,465983;0,432107;0,551378;0,604208;0,510081;0,566904;0,401667;0,453334;0,797577;1;0,854103;0,296649;0,484674;0,639192;0,581993;0,014228;0,002516;0,006595;0;0,051982;0,00647;0,002598;0,000427;0,005123;0,006061;0,004791;0,000557;0,001335;0,003957;0,004362;0,009712;0,006769;0,023156;0,006712;0;0,037587;0,025198;0;0,015169;0,003661;0,006489;0,0004;0,087586;0,032822;0,019113;0,002255;0,012321;0,021534;0;0;0,004587;0,00658;0;0,006113;0,003223;0,000093;0,010315;0,005411;0,001789;0;0;0,001924;0,002101;0,149507;0,107718;0;0,121765;0,136285;0,090384;0,067871;0,060635;0,033155;0,071483;0,049463;0,055541;0,026629;0,092034;0,018937;0,020798;0,021192;0,019397;0,004971;0,009152;0,012372;0,032868;0,014605;0,075673;0,015896;0,020112;0,092087;0,03701;0,264667;0,007712;0,05342;0,064197;0;0;0;0;0;0;0;0;0;0;0;0;0,001092;0;0;0;
sum41;0,073375;0,005974;0,004125;0,001882;0,043177;0,005574;0,003883;0,006528;0,003722;0,006459;0;0,01816;0,025112;0,000587;0,001099;0,008408;0,107656;0,04755;0,116396;0,018461;0,004249;0;0,084375;0,047669;0,095783;0,025498;0;0,047787;0,07006;0,013038;0,091902;0,008142;0,00531;0;0;0;0,002859;0;0;0;0,000116;0;0;0;0;0;0;0;0,009941;0;0,043011;0,026513;0;0;0,003352;0;0;0;0;0,003281;0,006242;0;0,009348;0,006656;0,013205;0,000577;0,003171;0,008864;0,003718;0,005885;0,000123;0,013501;0,005393;0,016244;0,006352;0,002821;0,00357;0,005921;0;0,001488;0,04991;0,023312;0,010989;0,011744;0,090211;0,017738;0,147239;0,145731;0,165809;0,168596;0,02924;0,144091;0,086523;0,02672;0,081852;0,097184;0,267805;0,299104;0,334318;0,343529;0,100485;0,18706;0;0,256923;0,454376;0,248657;0,418865;0,285282;0,326107;0,190227;0,082684;0,379671;0,528016;0,760787;0,706006;0,836131;0,867835;0,795528;0,82408;0,682801;0,740327;0,974998;0,854103;1;0,508159;0,760006;0,841978;0,838894;0,014762;0,002211;0,00596;0;0,048027;0,007284;0;0;0,004179;0,006318;0,004675;0,000199;0,000409;0,004293;0,003633;0,010031;0,006485;0,021403;0,006512;0;0,035802;0,024374;0;0,013221;0,003973;0,007011;0,000214;0,080089;0,027385;0,016236;0,001628;0,013053;0,02927;0;0;0,006647;0,009877;0;0,008854;0,003086;0;0,015472;0,007203;0,002524;0;0;0,002948;0,003045;0,210268;0,154966;0;0,175322;0,197189;0,128741;0,096819;0,08568;0,046565;0,102536;0,070453;0,079976;0,036128;0,133759;0,026717;0,02945;0,029719;0,026482;0,01066;0,01363;0,020946;0,046991;0,018888;0,106785;0,017558;0,029342;0,123676;0,06147;0,370507;0,01209;0,069324;0,09379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
themisfits;0,007822;0,000872;0,007084;0,000665;0,001283;0,000904;0,000506;0,004765;0,000503;0,000238;0;0,006355;0,004557;0,00075;0,001225;0,001023;0,002202;0,001318;0,002886;0,000766;0,000301;0,002136;0,025229;0,005769;0,001046;0;0,000624;0;0;0,001453;0,006592;0;0,000239;0,000472;0,000419;0,000458;0;0,001256;0,000431;0,001134;0,000846;0,000443;0,000574;0,00047;0,00068;0,000435;0,00023;0,000462;0,000242;0,000721;0,002415;0,00172;0,000236;0;0,000489;0,000239;0,000226;0,000454;0,000654;0,00024;0,00045;0,000481;0;0,000486;0,001912;0,002104;0,000668;0,000216;0,000905;0,002272;0,002475;0,000564;0,001044;0,000593;0,000504;0,002178;0,000977;0,000373;0;0,00035;0,003528;0,004001;0,00261;0;0,003003;0,004377;0,019668;0,003946;0,06315;0,021359;0,003664;0,039158;0,004586;0,000545;0,010962;0,050143;0,048019;0,005354;0,001755;0;0;0,000443;0,049931;0,035442;0,058836;0,000603;0,028123;0,070603;0,003651;0,105232;0,072812;0,017201;0,338179;0,668318;0,647785;0,669803;0,661445;0,648091;0,672673;0,674246;0,662133;0,493805;0,296649;0,508159;1;0,658999;0,662923;0,666413;0,001001;0,002582;0,052351;0;0,001983;0,000723;0,101135;0,111366;0,001628;0,000664;0,000562;0,000363;0,034528;0,000182;0,012572;0,004881;0;0;0,010006;0;0;0;0;0;0;0,000781;0,000196;0,000792;0;0;0;0;0;0;0;0;0,004153;0,001868;0;0,014415;0;0,059734;0,001947;0;0;0;0,082621;0;0,00446;0,009547;0;0,00538;0,011107;0,002623;0,001177;0,001666;0,001182;0,001231;0,001028;0,000389;0,001975;0;0,000585;0,000584;0,050248;0,001986;0;0,001194;0,054361;0,085131;0,028975;0,07114;0;0,001208;0,001611;0;0,112729;0,001059;0,00995;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001301;0;0;0;
rancid;0,027632;0,002314;0,002142;0,000761;0,012482;0,001623;0,002054;0,002529;0,001649;0,000149;0;0,008975;0,007667;0,000401;0,000696;0,003129;0,032199;0,008335;0,026411;0,005916;0,001457;0,000267;0,018726;0,013223;0,027923;0,007553;0,00039;0,014015;0,020341;0,004593;0,028619;0;0,001494;0,000295;0,000261;0,000286;0,000847;0,000785;0,000269;0,000708;0,000528;0,000277;0,000358;0,000294;0,000425;0,000272;0,000144;0,000288;0,003096;0,00045;0,013119;0,007854;0,000148;0;0,001299;0,000149;0,000141;0,000283;0,000408;0,001122;0,002106;0,0003;0,002769;0,002275;0,00412;0,000263;0,00132;0,002828;0,001553;0,002063;0,000421;0,004227;0,001909;0,005182;0,001678;0,001175;0,000661;0,001686;0;0,000547;0,01253;0,005588;0,002741;0,003823;0,023616;0,004531;0,040898;0,040292;0,045648;0,050954;0,006506;0,039732;0,022363;0,006463;0,022246;0,025627;0,11814;0,074887;0,077378;0,077731;0,025429;0,045252;0;0,091521;0,171317;0,063015;0,134232;0,144302;0,083704;0,052352;0,01989;0,101412;0,493631;0,897989;0,86163;0,906533;0,910118;0,871648;0,98386;0,865505;0,879607;0,748787;0,484674;0,760006;0,658999;1;0,897052;0,916955;0,004064;0,001461;0,002532;0;0,011852;0,002202;0,002447;0,000348;0,001872;0,002486;0,00158;0,000284;0,000583;0,001422;0,001998;0,007511;0,001566;0,004985;0,001497;0;0,008508;0,005005;0;0,00264;0,000982;0,002378;0,000183;0,017731;0,005746;0,003639;0,000477;0,003432;0,0431;0,059577;0,032935;0,011738;0,011513;0,007289;0,008451;0,007735;0,005674;0,051284;0,051672;0,172253;0,006126;0,004741;0,006717;0,00784;0,061214;0,052175;0;0,054966;0,066482;0,038537;0,029389;0,025514;0,014533;0,030818;0,021513;0,023935;0,011714;0,039431;0,00828;0,009057;0,006505;0,005649;0;0,001615;0,0035;0,011326;0,004324;0,029649;0,004352;0,006159;0,032243;0,007297;0,204641;0,001653;0,026761;0,025411;0;0;0;0;0;0;0;0;0;0;0;0;0,000812;0;0,000816;0;
